EmployeeNumber,Age,AgeBand,Attrition,AttritionFlag,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyPayrollCost,MonthlyRate,HourlyRate,DailyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,EnvironmentSatisfaction,JobSatisfaction,JobInvolvement,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,LastReviewDate,ManagerID,WorkLocation,RemoteWork,ExitReason
213,22,18-25,No,0,Travel_Rarely,Research & Development,6,3,Other,1,Male,1,Manufacturing Director,Single,6037,8106,3878,60,1138,7,No,21,3,2,2,4,3,80,0,0,2,3,0,0,0,0,2024-03-21,2024-12-04,1055,Copenhagen,No,Not applicable
214,50,46-55,No,0,Travel_Rarely,Sales,19,1,Technical Degree,1,Female,4,Sales Representative,Single,4096,5626,14317,56,919,2,No,16,3,1,2,2,4,80,0,30,5,2,6,6,1,2,2018-12-31,2024-06-29,1002,Copenhagen,No,Not applicable
215,35,26-35,Yes,1,Travel_Rarely,Sales,29,2,Life Sciences,1,Female,2,Sales Executive,Divorced,7095,9269,22421,85,233,0,Yes,23,4,1,2,4,1,80,3,13,2,3,11,0,0,0,2013-10-30,2024-09-25,1025,Helsinki,Hybrid,Relocation
216,40,36-45,No,0,Travel_Rarely,Research & Development,5,4,Other,1,Female,4,Manager,Divorced,20000,27019,19218,91,1113,2,No,18,3,1,4,1,2,80,1,17,2,4,13,2,1,5,2011-03-14,2024-06-09,1082,Gothenburg,Hybrid,Not applicable
217,36,36-45,No,0,Travel_Rarely,Sales,9,3,Medical,1,Female,3,Sales Representative,Single,5598,6638,16473,59,643,3,No,17,3,3,4,4,4,80,0,8,2,4,8,1,7,0,2016-07-04,2024-11-19,1038,Gothenburg,Hybrid,Not applicable
218,41,36-45,No,0,Travel_Frequently,Research & Development,10,3,Life Sciences,1,Male,3,Laboratory Technician,Divorced,3328,4046,15025,59,564,3,Yes,21,3,3,3,3,4,80,2,22,0,4,0,0,0,0,2024-09-16,2024-05-03,1030,Gothenburg,Hybrid,Not applicable
219,35,26-35,Yes,1,Travel_Rarely,Research & Development,23,2,Technical Degree,1,Male,2,Laboratory Technician,Divorced,4053,5353,20598,34,384,2,Yes,23,4,1,4,3,3,80,0,14,2,2,9,0,2,5,2015-07-19,2024-03-16,1081,Gothenburg,Hybrid,Relocation
220,29,26-35,No,0,Travel_Rarely,Research & Development,10,3,Medical,1,Female,2,Research Scientist,Married,6063,7170,12707,82,900,0,Yes,19,3,4,3,2,2,80,1,9,1,3,3,1,3,3,2021-11-07,2024-10-26,1069,Helsinki,Hybrid,Not applicable
221,42,36-45,No,0,Travel_Rarely,Research & Development,10,1,Life Sciences,1,Male,2,Research Scientist,Married,4820,6750,13363,68,900,2,Yes,25,3,2,3,4,4,80,1,15,2,4,2,2,2,0,2022-10-05,2024-06-02,1032,Oslo,Full Remote,Not applicable
222,18,18-25,No,0,Travel_Frequently,Research & Development,9,4,Technical Degree,1,Male,2,Manufacturing Director,Married,9417,12156,4398,89,880,0,Yes,11,3,1,3,1,1,80,0,0,2,3,0,0,0,0,2024-06-11,2024-09-23,1051,Stockholm,No,Not applicable
223,45,36-45,No,0,Travel_Frequently,Research & Development,16,1,Life Sciences,1,Male,5,Manufacturing Director,Single,13894,19184,19133,43,899,2,Yes,19,3,1,3,2,4,80,0,24,4,3,13,3,2,3,2011-05-23,2024-12-05,1077,Stockholm,No,Not applicable
224,50,46-55,Yes,1,Travel_Rarely,Research & Development,1,4,Marketing,1,Female,4,Research Scientist,Married,6219,7685,5469,75,762,0,Yes,19,3,1,4,1,3,80,1,31,2,3,1,0,0,0,2023-06-11,2024-02-01,1041,Helsinki,No,Career change
225,42,36-45,No,0,Travel_Rarely,Sales,25,5,Technical Degree,1,Male,3,Sales Representative,Single,4257,5041,21170,87,883,3,No,24,3,1,3,4,2,80,0,19,3,3,1,0,1,1,2023-09-05,2024-04-18,1076,Malmo,Full Remote,Not applicable
226,34,26-35,No,0,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,3,Sales Representative,Single,4466,6055,13230,61,521,8,No,15,3,3,2,3,3,80,1,12,3,1,12,4,3,4,2012-01-30,2024-08-26,1088,Malmo,Hybrid,Not applicable
227,30,26-35,No,0,Travel_Rarely,Research & Development,7,2,Medical,1,Male,2,Laboratory Technician,Divorced,3919,5534,8599,64,1085,0,Yes,14,3,1,4,4,3,80,1,10,2,2,2,0,0,2,2022-07-02,2024-06-11,1049,Helsinki,Hybrid,Not applicable
228,48,46-55,No,0,Travel_Rarely,Research & Development,28,3,Life Sciences,1,Male,5,Research Scientist,Single,8149,10595,25768,77,1106,2,No,25,3,4,3,4,4,80,0,24,2,1,7,4,1,0,2017-06-05,2024-06-12,1048,Helsinki,Hybrid,Not applicable
229,38,36-45,No,0,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,3,Laboratory Technician,Married,4671,6293,23146,48,635,0,No,11,3,4,2,2,4,80,2,16,3,1,12,2,2,0,2012-01-22,2024-10-17,1033,Oslo,Hybrid,Not applicable
230,37,36-45,Yes,1,Non-Travel,Human Resources,17,3,Medical,1,Male,3,Human Resources,Single,5758,7220,7518,92,103,0,No,22,3,4,1,1,3,80,0,13,3,2,5,1,5,2,2019-01-12,2024-06-01,1068,Malmo,No,Manager relationship
231,39,36-45,Yes,1,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,Research Scientist,Married,6824,8835,24046,42,119,0,Yes,14,4,2,1,3,1,80,0,20,0,4,3,0,0,2,2021-12-30,2024-01-26,1075,Stockholm,No,Career change
232,29,26-35,No,0,Non-Travel,Research & Development,22,3,Life Sciences,1,Male,1,Healthcare Representative,Divorced,7038,8512,19387,65,609,4,No,20,4,3,1,1,4,80,1,0,1,4,0,0,0,0,2024-02-20,2024-01-15,1085,Helsinki,Hybrid,Not applicable
233,49,46-55,No,0,Travel_Rarely,Research & Development,22,1,Medical,1,Male,4,Laboratory Technician,Married,6006,7814,6189,93,278,4,No,22,4,1,4,3,2,80,2,19,3,2,2,2,2,2,2022-01-23,2024-03-26,1060,Oslo,Full Remote,Not applicable
234,25,18-25,No,0,Travel_Rarely,Human Resources,1,2,Life Sciences,1,Male,2,Human Resources,Divorced,5155,6162,13246,78,881,5,No,20,4,1,2,4,1,80,2,5,3,3,1,1,1,0,2023-03-21,2024-05-22,1030,Oslo,No,Not applicable
235,30,26-35,No,0,Travel_Rarely,Human Resources,24,4,Life Sciences,1,Female,2,Manager,Married,16492,22774,18378,88,401,1,No,15,3,2,2,1,4,80,1,11,1,1,11,0,1,1,2013-10-22,2024-01-26,1090,Stockholm,Hybrid,Not applicable
236,58,56+,Yes,1,Travel_Rarely,Research & Development,26,4,Medical,1,Male,5,Manager,Single,20000,25872,13413,80,900,1,No,21,4,2,4,4,3,80,3,35,2,2,3,2,1,3,2021-08-11,2024-08-09,1090,Malmo,Full Remote,Compensation
237,47,46-55,No,0,Travel_Rarely,Research & Development,5,4,Life Sciences,1,Male,4,Research Scientist,Divorced,8484,11935,5845,95,1431,0,Yes,13,3,1,2,4,4,80,2,25,5,2,8,3,0,1,2016-05-26,2024-10-16,1081,Malmo,Hybrid,Not applicable
238,37,36-45,No,0,Travel_Rarely,Sales,22,3,Medical,1,Male,2,Sales Executive,Divorced,8835,12005,21427,53,886,9,No,22,3,1,1,4,2,80,1,14,2,1,14,1,6,3,2010-02-09,2024-01-07,1056,Copenhagen,Hybrid,Not applicable
239,55,46-55,Yes,1,Travel_Rarely,Sales,26,4,Medical,1,Female,4,Sales Executive,Divorced,11227,15006,4877,62,171,0,No,14,4,1,2,2,1,80,1,30,1,4,1,0,1,1,2023-10-31,2024-04-16,1039,Gothenburg,No,Work-life balance
240,33,26-35,Yes,1,Travel_Rarely,Human Resources,16,3,Life Sciences,1,Male,2,Human Resources,Divorced,4305,5650,21391,75,668,3,No,20,3,1,2,1,2,80,0,14,5,2,14,1,0,2,2010-02-21,2024-05-29,1010,Copenhagen,No,Relocation
241,42,36-45,No,0,Non-Travel,Research & Development,9,3,Marketing,1,Male,2,Laboratory Technician,Single,5430,6550,19968,82,235,0,No,19,3,2,3,4,4,80,3,12,2,1,6,0,3,0,2018-11-19,2024-06-29,1043,Copenhagen,No,Not applicable
242,36,36-45,No,0,Travel_Rarely,Research & Development,29,3,Technical Degree,1,Male,1,Healthcare Representative,Married,6593,8652,15194,91,1313,2,No,19,3,1,2,3,4,80,0,2,5,2,1,1,1,0,2023-12-29,2024-01-15,1066,Oslo,Hybrid,Not applicable
243,30,26-35,No,0,Travel_Rarely,Sales,15,2,Medical,1,Male,1,Sales Executive,Divorced,5842,7125,3881,40,685,0,No,12,3,1,3,4,3,80,1,1,2,1,1,1,1,1,2023-04-25,2024-12-26,1055,Malmo,Hybrid,Not applicable
244,26,26-35,No,0,Travel_Rarely,Research & Development,24,5,Medical,1,Male,1,Manufacturing Director,Married,7368,9570,7586,77,331,1,No,17,3,2,2,2,1,80,2,0,5,3,0,0,0,0,2024-01-20,2024-08-26,1070,Stockholm,No,Not applicable
245,36,36-45,No,0,Travel_Rarely,Research & Development,29,3,Medical,1,Male,2,Research Scientist,Married,5319,6951,7036,82,353,0,No,12,3,1,1,3,2,80,0,14,2,4,2,2,2,2,2022-12-30,2024-10-13,1085,Copenhagen,No,Not applicable
246,34,26-35,No,0,Travel_Frequently,Research & Development,12,1,Life Sciences,1,Female,2,Research Scientist,Divorced,3370,4554,12645,81,1127,8,No,18,3,3,1,2,2,80,3,15,1,4,13,1,0,5,2011-06-20,2024-10-25,1015,Stockholm,Hybrid,Not applicable
247,31,26-35,Yes,1,Travel_Frequently,Sales,20,4,Life Sciences,1,Male,2,Sales Executive,Single,5667,6827,25935,94,1351,0,No,14,3,2,2,3,1,80,3,11,3,3,0,0,0,0,2024-03-05,2024-02-13,1082,Oslo,No,Compensation
248,39,36-45,No,0,Travel_Rarely,Research & Development,23,3,Medical,1,Female,3,Research Scientist,Married,6273,8396,12539,57,684,0,No,11,3,3,3,3,4,80,0,19,1,2,11,5,2,1,2013-02-28,2024-11-10,1056,Oslo,No,Not applicable
249,34,26-35,No,0,Travel_Frequently,Research & Development,24,2,Life Sciences,1,Male,2,Research Scientist,Married,5707,7147,17538,55,1192,0,No,16,3,1,1,2,2,80,2,11,3,4,6,0,6,1,2018-12-12,2024-10-27,1025,Helsinki,Hybrid,Not applicable
250,48,46-55,Yes,1,Travel_Rarely,Research & Development,14,2,Other,1,Male,2,Manager,Divorced,13342,16993,21897,64,523,3,Yes,23,3,1,2,4,4,80,0,15,2,1,12,3,0,7,2012-10-15,2024-03-14,1028,Malmo,No,Relocation
251,26,26-35,No,0,Travel_Rarely,Human Resources,8,4,Technical Degree,1,Female,1,Human Resources,Single,3995,4793,25116,100,640,2,Yes,16,4,1,2,2,1,80,1,2,5,1,1,1,0,0,2023-06-07,2024-02-22,1038,Copenhagen,Full Remote,Not applicable
252,45,36-45,Yes,1,Travel_Rarely,Research & Development,25,2,Medical,1,Male,3,Laboratory Technician,Married,5251,6383,17696,41,1115,0,No,16,3,2,3,3,2,80,0,21,3,4,1,0,1,1,2023-09-30,2024-10-02,1025,Helsinki,Full Remote,Relocation
253,35,26-35,No,0,Non-Travel,Sales,15,4,Marketing,1,Male,2,Sales Representative,Single,4710,6235,2307,43,1210,0,No,21,3,1,1,1,1,80,0,8,1,2,8,0,2,0,2016-07-14,2024-01-04,1011,Oslo,No,Not applicable
254,49,46-55,No,0,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Female,4,Manufacturing Director,Single,11433,14840,5608,58,308,4,No,25,3,4,4,2,3,80,0,29,2,3,2,2,2,0,2022-08-11,2024-07-02,1010,Gothenburg,No,Not applicable
255,18,18-25,No,0,Travel_Rarely,Research & Development,29,1,Technical Degree,1,Female,1,Research Scientist,Divorced,5246,7215,5708,84,670,1,No,18,4,1,1,2,2,80,0,0,3,3,0,0,0,0,2024-07-20,2024-10-27,1024,Copenhagen,No,Not applicable
256,33,26-35,No,0,Travel_Rarely,Research & Development,16,1,Medical,1,Male,2,Research Scientist,Married,4179,4990,13447,76,385,1,Yes,12,3,2,3,1,2,80,0,8,1,1,2,2,2,0,2022-10-21,2024-03-24,1054,Oslo,Hybrid,Not applicable
257,51,46-55,Yes,1,Travel_Rarely,Sales,22,2,Life Sciences,1,Male,4,Sales Executive,Married,10087,13463,2432,66,327,2,Yes,17,3,4,2,2,4,80,1,28,2,2,17,10,4,1,2007-02-12,2024-12-15,1078,Gothenburg,No,Compensation
258,27,26-35,No,0,Travel_Frequently,Research & Development,10,3,Other,1,Male,1,Research Scientist,Single,4802,6027,23033,81,879,8,No,12,3,4,1,2,4,80,2,6,3,2,6,3,3,0,2018-06-27,2024-02-04,1055,Copenhagen,No,Not applicable
259,27,26-35,No,0,Travel_Rarely,Sales,10,1,Medical,1,Female,1,Sales Executive,Divorced,7545,10639,18391,54,744,0,Yes,15,3,4,1,1,3,80,3,5,2,1,5,0,5,2,2019-07-05,2024-10-26,1090,Malmo,No,Not applicable
260,36,36-45,No,0,Travel_Rarely,Research & Development,10,4,Life Sciences,1,Male,2,Research Scientist,Single,4739,5637,25355,79,589,0,No,17,3,2,2,3,4,80,0,11,4,2,0,0,0,0,2024-02-24,2024-02-25,1010,Gothenburg,Hybrid,Not applicable
261,38,36-45,No,0,Travel_Rarely,Research & Development,11,3,Life Sciences,1,Female,3,Research Scientist,Single,5617,7168,22305,46,1002,1,No,15,3,4,3,4,2,80,3,11,2,1,4,4,0,0,2020-02-18,2024-07-24,1048,Stockholm,Hybrid,Not applicable
262,35,26-35,No,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Female,3,Research Scientist,Married,8430,10750,16192,55,922,2,No,25,3,3,4,4,4,80,0,12,4,1,5,4,5,0,2019-07-25,2024-07-09,1078,Helsinki,No,Not applicable
263,44,36-45,No,0,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,3,Manufacturing Director,Married,9844,12855,23942,63,476,0,No,24,4,4,3,3,2,80,0,22,1,1,11,0,11,2,2013-11-18,2024-05-26,1044,Copenhagen,No,Not applicable
264,19,18-25,No,0,Travel_Rarely,Research & Development,23,2,Medical,1,Male,1,Research Scientist,Married,3190,3767,16763,46,1399,0,No,21,3,3,1,2,4,80,1,0,3,2,0,0,0,0,2024-03-11,2024-11-12,1005,Oslo,Hybrid,Not applicable
265,43,36-45,Yes,1,Travel_Rarely,Sales,22,4,Medical,1,Female,3,Sales Representative,Divorced,4981,6389,7796,100,1318,1,Yes,16,3,4,4,4,3,80,2,20,5,3,8,0,0,0,2016-05-25,2024-06-19,1037,Malmo,Hybrid,Retirement
266,40,36-45,No,0,Travel_Rarely,Research & Development,3,4,Technical Degree,1,Male,3,Laboratory Technician,Married,4627,6534,17202,82,1420,1,No,24,3,1,3,4,2,80,1,17,1,2,15,0,7,0,2009-06-17,2024-12-28,1048,Oslo,Hybrid,Not applicable
267,37,36-45,No,0,Travel_Rarely,Research & Development,2,4,Medical,1,Female,3,Manager,Married,19016,25761,15209,70,1159,3,No,13,3,4,2,4,2,80,2,17,3,4,12,3,9,0,2012-09-08,2024-11-11,1091,Oslo,Hybrid,Not applicable
268,33,26-35,Yes,1,Travel_Rarely,Research & Development,7,2,Medical,1,Female,2,Laboratory Technician,Single,5345,7342,14389,63,1450,5,No,19,3,1,2,4,3,80,0,8,2,2,8,0,8,2,2016-11-22,2024-10-19,1081,Malmo,Full Remote,Career change
269,24,18-25,No,0,Travel_Rarely,Research & Development,27,3,Medical,1,Female,1,Healthcare Representative,Divorced,6766,8968,3030,45,802,5,No,21,3,4,3,4,2,80,0,5,3,2,5,0,5,0,2019-05-01,2024-02-21,1077,Gothenburg,No,Not applicable
270,36,36-45,Yes,1,Travel_Rarely,Research & Development,29,4,Life Sciences,1,Female,3,Laboratory Technician,Single,5743,7015,24513,65,904,6,No,15,3,1,3,3,4,80,1,14,4,4,4,4,1,0,2020-03-08,2024-07-25,1022,Malmo,Hybrid,Compensation
271,23,18-25,Yes,1,Travel_Frequently,Research & Development,21,2,Life Sciences,1,Male,1,Research Director,Divorced,15340,18635,12303,45,119,0,No,16,3,1,2,3,4,80,0,0,3,2,0,0,0,0,2024-12-27,2024-07-16,1028,Gothenburg,Hybrid,Manager relationship
272,28,26-35,No,0,Travel_Rarely,Research & Development,28,3,Marketing,1,Male,1,Research Director,Married,13431,16767,23091,30,1045,1,No,20,3,4,4,1,3,80,0,6,3,4,6,0,6,2,2018-06-11,2024-12-13,1069,Gothenburg,No,Not applicable
273,44,36-45,No,0,Travel_Rarely,Research & Development,13,2,Other,1,Male,5,Laboratory Technician,Married,7905,9757,4884,54,855,0,Yes,16,3,1,3,1,1,80,0,25,1,2,0,0,0,0,2024-04-01,2024-12-29,1089,Stockholm,No,Not applicable
274,25,18-25,No,0,Travel_Rarely,Research & Development,5,3,Technical Degree,1,Female,2,Manufacturing Director,Single,10114,13794,25310,40,822,2,Yes,15,3,1,2,4,4,80,0,6,2,3,4,4,0,0,2020-08-31,2024-01-29,1083,Malmo,Full Remote,Not applicable
275,46,46-55,Yes,1,Travel_Rarely,Research & Development,27,2,Medical,1,Male,4,Laboratory Technician,Divorced,6560,8370,4249,65,966,4,No,23,3,1,2,2,3,80,3,27,2,4,6,1,1,2,2018-07-30,2024-03-11,1083,Oslo,Hybrid,Career change
276,38,36-45,No,0,Travel_Rarely,Sales,18,3,Life Sciences,1,Male,3,Sales Executive,Single,9056,11758,16207,43,1495,0,No,20,3,1,4,4,2,80,0,17,2,3,1,1,0,1,2023-08-28,2024-11-05,1029,Stockholm,Full Remote,Not applicable
277,37,36-45,No,0,Travel_Frequently,Research & Development,27,3,Life Sciences,1,Female,3,Laboratory Technician,Single,6536,9124,6647,31,1464,2,No,16,3,1,2,4,3,80,0,17,2,2,11,1,0,1,2013-07-17,2024-12-21,1023,Stockholm,No,Not applicable
278,45,36-45,No,0,Non-Travel,Research & Development,22,2,Life Sciences,1,Male,4,Manufacturing Director,Married,12014,15193,25270,72,1160,0,Yes,24,3,3,4,4,3,80,1,24,2,3,0,0,0,0,2024-03-02,2024-04-28,1015,Copenhagen,Hybrid,Not applicable
279,60,56+,No,0,Travel_Rarely,Research & Development,14,3,Other,1,Male,5,Manufacturing Director,Single,14824,18713,22066,45,987,6,No,14,4,2,3,3,3,80,1,34,2,4,9,2,5,0,2015-03-20,2024-07-07,1037,Stockholm,Full Remote,Not applicable
280,39,36-45,No,0,Travel_Rarely,Research & Development,26,2,Medical,1,Male,3,Research Scientist,Single,5872,7719,4818,64,392,3,No,23,3,1,1,3,2,80,2,16,2,3,14,3,1,1,2010-09-27,2024-05-24,1075,Stockholm,No,Not applicable
281,43,36-45,No,0,Travel_Rarely,Sales,20,3,Medical,1,Male,3,Sales Executive,Married,8587,10907,16316,42,383,5,No,13,3,4,2,3,3,80,0,20,2,1,2,2,2,2,2022-01-12,2024-07-24,1065,Malmo,Hybrid,Not applicable
282,28,26-35,No,0,Non-Travel,Research & Development,20,3,Technical Degree,1,Male,1,Research Scientist,Married,4804,5766,10853,43,782,4,No,11,3,4,2,4,1,80,1,7,2,4,0,0,0,0,2024-08-06,2024-03-17,1062,Malmo,No,Not applicable
283,36,36-45,No,0,Non-Travel,Sales,8,4,Human Resources,1,Male,3,Sales Executive,Single,9123,11872,14802,37,349,0,No,14,3,2,1,1,1,80,1,12,1,2,0,0,0,0,2024-04-29,2024-09-28,1031,Copenhagen,Hybrid,Not applicable
284,38,36-45,No,0,Travel_Rarely,Research & Development,22,3,Life Sciences,1,Male,2,Laboratory Technician,Married,4928,5957,14760,31,1288,0,Yes,17,4,4,3,3,4,80,1,12,2,4,5,3,5,0,2019-02-07,2024-02-02,1085,Helsinki,No,Not applicable
285,42,36-45,No,0,Travel_Frequently,Research & Development,28,3,Life Sciences,1,Female,2,Research Director,Divorced,16802,22483,20875,94,1449,0,No,18,3,3,4,2,3,80,2,10,3,3,3,0,1,3,2021-10-28,2024-01-09,1042,Gothenburg,Full Remote,Not applicable
286,44,36-45,No,0,Travel_Rarely,Research & Development,16,4,Life Sciences,1,Female,3,Research Scientist,Married,5672,7202,22686,33,456,4,No,23,3,4,4,1,1,80,0,22,1,3,9,0,9,0,2015-01-12,2024-05-15,1049,Oslo,Full Remote,Not applicable
287,39,36-45,No,0,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,3,Laboratory Technician,Divorced,4270,5611,6517,38,998,0,Yes,19,3,4,1,3,2,80,0,18,3,4,11,0,6,5,2013-06-26,2024-11-25,1073,Stockholm,No,Not applicable
288,47,46-55,No,0,Travel_Frequently,Research & Development,13,1,Medical,1,Female,4,Research Scientist,Divorced,7078,9651,6564,56,1220,1,No,25,3,1,1,4,3,80,0,28,2,1,6,5,6,1,2018-07-19,2024-01-27,1008,Oslo,Hybrid,Not applicable
289,25,18-25,No,0,Travel_Frequently,Research & Development,3,1,Medical,1,Male,1,Healthcare Representative,Single,5510,7208,14431,32,1231,0,No,14,3,4,4,3,2,80,3,0,3,1,0,0,0,0,2024-06-17,2024-06-21,1090,Oslo,Hybrid,Not applicable
290,43,36-45,No,0,Travel_Rarely,Research & Development,8,4,Medical,1,Female,2,Research Scientist,Married,6145,8139,10003,67,365,0,No,16,4,1,2,1,1,80,0,15,1,1,15,0,0,1,2009-05-05,2024-01-30,1016,Malmo,No,Not applicable
291,22,18-25,No,0,Travel_Frequently,Research & Development,10,3,Life Sciences,1,Female,1,Manager,Divorced,12759,17555,6651,34,581,1,No,19,4,4,3,1,2,80,2,2,2,2,2,2,2,2,2022-02-04,2024-05-13,1015,Stockholm,Hybrid,Not applicable
292,45,36-45,No,0,Travel_Rarely,Sales,16,3,Medical,1,Female,4,Sales Executive,Married,10059,13959,25895,37,323,1,Yes,16,3,1,3,1,3,80,1,25,3,3,2,0,2,0,2022-01-20,2024-08-06,1069,Helsinki,Hybrid,Not applicable
293,24,18-25,No,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,Single,9469,11212,2290,89,175,1,No,15,3,3,3,3,3,80,0,0,2,1,0,0,0,0,2024-05-01,2024-02-09,1072,Oslo,Hybrid,Not applicable
294,29,26-35,No,0,Travel_Rarely,Research & Development,26,2,Medical,1,Male,2,Laboratory Technician,Single,4587,6342,13578,99,191,0,No,15,3,1,2,4,3,80,1,10,5,1,10,9,1,1,2014-07-09,2024-11-06,1010,Gothenburg,Hybrid,Not applicable
295,36,36-45,No,0,Travel_Rarely,Research & Development,29,4,Technical Degree,1,Female,3,Research Scientist,Married,4644,6049,26315,95,1290,0,No,12,3,3,1,2,3,80,0,16,3,1,2,2,2,1,2022-09-14,2024-06-21,1075,Stockholm,Hybrid,Not applicable
296,26,26-35,No,0,Travel_Rarely,Sales,19,4,Marketing,1,Male,2,Sales Executive,Married,7678,10851,24710,60,1011,0,Yes,16,3,4,3,3,2,80,2,2,3,3,2,2,2,2,2022-06-07,2024-06-29,1011,Copenhagen,Hybrid,Not applicable
297,44,36-45,No,0,Travel_Frequently,Sales,8,2,Life Sciences,1,Male,4,Sales Executive,Married,9517,12186,20172,90,306,4,Yes,12,3,4,4,2,4,80,2,24,0,2,8,5,8,8,2016-12-17,2024-05-25,1004,Oslo,Full Remote,Not applicable
298,50,46-55,No,0,Travel_Frequently,Sales,29,4,Life Sciences,1,Female,3,Sales Executive,Married,7099,9938,18691,40,411,2,Yes,20,4,4,4,4,3,80,1,22,3,4,2,2,0,2,2022-03-05,2024-03-03,1048,Malmo,Hybrid,Not applicable
299,27,26-35,No,0,Travel_Rarely,Research & Development,29,3,Marketing,1,Male,1,Research Scientist,Divorced,2177,2719,10500,43,574,0,No,18,3,2,4,3,3,80,0,5,2,1,5,1,3,1,2019-10-23,2024-11-12,1027,Gothenburg,Hybrid,Not applicable
300,44,36-45,No,0,Travel_Frequently,Research & Development,27,3,Medical,1,Female,4,Manufacturing Director,Single,11888,15037,4590,58,252,0,No,15,3,3,1,1,4,80,1,25,1,4,12,2,0,4,2012-04-20,2024-07-13,1036,Malmo,Hybrid,Not applicable
301,32,26-35,No,0,Travel_Rarely,Research & Development,17,1,Medical,1,Male,2,Laboratory Technician,Married,5447,6543,18918,57,106,3,No,15,3,4,2,2,3,80,0,13,3,4,6,0,4,0,2018-04-27,2024-03-21,1079,Oslo,Hybrid,Not applicable
302,46,46-55,No,0,Travel_Frequently,Sales,6,3,Medical,1,Male,3,Sales Executive,Divorced,9846,12371,5720,74,915,1,No,17,3,3,1,2,1,80,0,23,2,3,5,0,3,1,2019-05-01,2024-04-25,1077,Helsinki,Hybrid,Not applicable
303,43,36-45,No,0,Travel_Rarely,Sales,22,4,Life Sciences,1,Female,3,Sales Executive,Married,11150,14791,6234,99,140,0,No,21,3,1,3,4,4,80,1,23,2,2,1,1,1,1,2023-12-23,2024-06-20,1012,Malmo,No,Not applicable
304,52,46-55,No,0,Travel_Rarely,Research & Development,23,2,Marketing,1,Male,4,Research Scientist,Divorced,8458,11377,3106,64,353,0,No,23,3,1,1,4,4,80,0,28,2,1,9,9,2,5,2015-06-25,2024-01-31,1052,Oslo,Hybrid,Not applicable
305,39,36-45,No,0,Travel_Rarely,Research & Development,5,4,Marketing,1,Male,4,Research Director,Married,20000,24997,5049,58,932,7,No,17,3,1,3,3,4,80,0,18,3,2,6,0,3,4,2018-05-01,2024-08-08,1090,Gothenburg,Hybrid,Not applicable
306,51,46-55,No,0,Travel_Rarely,Research & Development,25,3,Marketing,1,Female,3,Research Scientist,Married,6115,8447,26922,59,220,2,No,22,3,2,2,4,2,80,0,20,2,1,7,1,0,2,2017-08-27,2024-06-04,1040,Malmo,No,Not applicable
307,31,26-35,No,0,Non-Travel,Sales,11,3,Marketing,1,Female,2,Sales Executive,Married,8843,12280,5724,34,968,3,No,18,4,4,1,4,2,80,0,10,2,1,0,0,0,0,2024-02-16,2024-04-07,1063,Oslo,Hybrid,Not applicable
308,30,26-35,No,0,Travel_Rarely,Research & Development,12,4,Other,1,Female,2,Laboratory Technician,Single,4937,6020,25431,90,120,2,No,13,3,3,4,4,2,80,2,9,4,3,1,1,1,1,2023-10-03,2024-10-16,1061,Stockholm,Full Remote,Not applicable
309,35,26-35,No,0,Travel_Rarely,Sales,21,2,Marketing,1,Female,4,Sales Executive,Married,10908,13203,19115,79,776,0,No,15,3,3,3,4,3,80,0,16,3,2,4,2,0,2,2020-03-05,2024-02-26,1036,Malmo,Full Remote,Not applicable
310,47,46-55,No,0,Travel_Rarely,Research & Development,5,4,Life Sciences,1,Male,5,Laboratory Technician,Single,5480,6883,4562,57,440,1,Yes,18,3,4,3,3,1,80,1,26,2,2,1,1,1,0,2023-08-13,2024-01-02,1019,Helsinki,Hybrid,Not applicable
311,50,46-55,No,0,Travel_Frequently,Research & Development,12,3,Technical Degree,1,Male,4,Research Scientist,Married,9212,11981,2425,64,168,0,No,12,3,2,1,2,4,80,1,25,2,3,6,1,0,1,2018-02-09,2024-04-30,1051,Stockholm,Full Remote,Not applicable
312,26,26-35,No,0,Travel_Rarely,Research & Development,20,4,Marketing,1,Male,1,Manufacturing Director,Married,7660,10039,8362,32,781,0,No,22,3,2,2,2,1,80,2,6,2,4,0,0,0,0,2024-07-23,2024-01-03,1022,Gothenburg,Hybrid,Not applicable
